Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery CMOS,
"C1, C2, C3, C4, C8, C9",0402,6,100nF/16V,
"C10, C41, C7",C_Pol_EIA-B,3,C_Pol_100u_10V_KEMET-T520-B,C600583
"C103, C104, C107, C108, C109, C110, C112, C113, C114, C16, C17, C204, C205, C23, C53, C54, C55",0402,17,C_100n_0402,GRM155R61H104KE14D
"C106, C111, C75, C76, C77, C78, C79, C80, C81, C82",0603,10,C_22u_16V_0603,CL10A226MO7JZNC
"C11, C12, C38, C42, C5, C6",0402,6,C_1u_0402,C2182694
"C18, C32, C37",0402,3,C_100n_0402,C85960
"C22, C31, C33",0603,3,C_22u_16V_0603,C2762594
"C57, C66, C67, C69, C70",0402,5,C_1u_0402,C1005X6S1A105K050BC
C61,0402,1,1uF/16V,
D1,SOT-323,1,1N5819WS,
"D10, D11, D14, D19",0402,4,0402ESDA-05N,C316049
D12,0402,1,PESD24VS1UL-N,C406227
"D15, D16, D21",0603,3,LED_G_0603_LTST-C190GKT,LTST-C190GKT
"D17, D18",PLCC4_3.2x2.8mm,2,LED_RGB_PLCC4_ASMB_MTB1_0A3A2,ASMB-MTB1-0A3A2
"D20, D3, D9",SOD-523,3,PESD5Z5_0F,C552600
"D27, D28, D29, D6",SC70-3,4,TPD2E2U06_SC70,C1855726
D36,SOT-23-3,1,BAT54C,BAT54C
DC1,DC-IN-TH_DC-044A-20A,1,DC-044A-20A,
F1,0603,1,6V/50mA,
"H10, H11",Spacer_Drill3.7mm_H2.5mm_9774025151R,2,Spacer_Drill3.7mm_H2.5mm_9774025151R,9774025151R
"H2, H3, H4, H5, H6, H7, H8, H9",Spacer_Drill3.7mm_H2.5mm_9774025151R,8,Spacer_Drill3.7mm_H5mm_9774025151R,C7496631
HDMI1,HDMI-SMD_HDMI-019S,1,HDMI_A,C111617
J100,Bus_M.2_Socket_Key_E_TE_2199230-6,1,Bus_M.2_2199230-2,C23731731
J2,Hirose_DF13-04P-1.25DSA_1x04_P1.25mm_Vertical,1,Conn_01x04_Pin,
J8,Bus_M.2_Socket_Key_M_TE_1-2199230-6,1,Bus_M.2_1-2199230-6,1-2199230-6
L2,L_Coilcraft-XAL6030,1,L_1u8_14A_Coilcraft-XAL6030,XAL6030-182MEC
L3,L_WE-MAPI-4020,1,L_1u8_6.8A_WE-MAPI-4020,74438356018
"Q10, Q6, Q9",SOT-23,3,2SK3018,
Q11,SOT-23,1,2N7002,
"Q3, Q7, Q8",SOT-23-3,3,BSS138-7-F,BSS138-7-F
