Designator,Mid X,Mid Y,Rotation,Layer
A1,142.975,-108.9995,90.0,bottom
BT1,26.48,-111.36,0.0,top
C1,17.25,-118.17,0.0,top
C10,1.071,-98.406,0.0,top
C103,-12.175,-123.33,0.0,top
C104,-12.175,-125.32,0.0,top
C106,-4.81,-137.44,0.0,top
C107,-12.175,-127.31,0.0,top
C108,-12.175,-129.3,0.0,top
C109,-12.175,-131.29,0.0,top
C11,-12.175,-92.22,0.0,top
C110,-12.175,-133.28,0.0,top
C111,-4.81,-139.79,0.0,top
C112,-12.175,-135.27,0.0,top
C113,-9.275,-119.35,0.0,top
C114,-9.275,-121.34,0.0,top
C12,-12.175,-94.21,0.0,top
C16,-12.175,-119.35,0.0,top
C17,-12.175,-121.34,0.0,top
C18,-12.175,-96.2,0.0,top
C2,17.25,-120.14,0.0,top
C204,12.355,-104.16,0.0,top
C205,12.355,-106.15,0.0,top
C22,3.6,-106.58,0.0,top
C23,-12.175,-100.18,0.0,top
C3,17.25,-122.11,0.0,top
C31,3.6,-108.93,0.0,top
C32,-12.175,-102.17,0.0,top
C33,3.6,-111.28,0.0,top
C37,-12.175,-104.16,0.0,top
C38,-12.175,-106.15,0.0,top
C4,17.25,-124.08,0.0,top
C41,1.071,-103.134,0.0,top
C42,-12.19,-112.07,0.0,top
C5,-12.19,-108.13,0.0,top
C53,12.355,-92.22,0.0,top
C54,12.355,-94.21,0.0,top
C55,12.355,-96.2,0.0,top
C57,12.355,-98.19,0.0,top
C6,-12.19,-110.1,0.0,top
C61,156.42,-61.9,0.0,bottom
C66,161.32,-124.7,180.0,top
C67,12.355,-100.18,0.0,top
C69,158.0,-128.109,90.0,top
C7,1.071,-93.678,0.0,top
C70,12.355,-102.17,0.0,top
C75,34.46,-118.36,0.0,top
C76,34.46,-120.71,0.0,top
C77,34.46,-123.06,0.0,top
C78,34.46,-125.41,0.0,top
C79,28.91,-118.36,0.0,top
C8,17.25,-126.05,0.0,top
C80,28.91,-120.71,0.0,top
C81,28.91,-123.06,0.0,top
C82,28.91,-125.41,0.0,top
C9,17.25,-128.02,0.0,top
D1,17.69,-130.88,0.0,top
D10,151.5,-68.5,0.0,bottom
D11,157.52,-68.5,0.0,bottom
D12,150.4,-61.9,0.0,bottom
D14,153.5,-68.5,0.0,bottom
D15,28.91,-127.76,0.0,top
D16,28.91,-130.11,0.0,top
D17,3.65,-130.53,0.0,top
D18,3.65,-134.88,0.0,top
